Reaction_ID;Deafult_name;Mod_name;Notes
EX_pnto_R_e_;R__R__Pantothenate_exchange;pantothenate;
EX_pectin_e_;R_Pectin_exchange;pectin;
EX_pepd_e_;R_peptide_exchange;peptide;not present in Yeast
EX_pheac_e_;R_Phenethyl_acetate_exchange;phenethyl acetate;
EX_pacald_e_;R_Phenylacetaldehyde_exchange;phenylacetaldehyde;
EX_phe_L_e_;R_L_Phenylalanine_exchange;phenylalanine;
EX_pi_e_;R_Phosphate_exchange;phosphate;
EX_pc_SC_e_;R_Phosphatidylcholine__yeast_specific_exchange;phosphatidylcholine;no drain in Yeast 
EX_ptd1ino_SC_e_;R_phosphatidyl_1D_myo_inositol__yeast_specific_exchange;phosphatidylinositol;not present in Yeast
EX_k_e_;R_K_exchange;potassium;
EX_pro_L_e_;R_L_Proline_exchange;proline;
EX_ptrc_e_;R_Putrescine_exchange;putrescine;
EX_pyr_e_;R_Pyruvate_exchange;pyruvate;
EX_lac_D_e_;R_D_lactate_exchange;R-lactate;
EX_ribflv_e_;R_Riboflavin_exchange;riboflavin;
EX_rib_D_e_;R_D_Ribose_exchange;ribose;
EX_amet_e_;R_S_Adenosyl_L_methionine_exchange;S-adenosyl-L-methionine;
EX_lac_L_e_;R_L_Lactate_exchange;S-lactate;
EX_mmet_e_;R_S_Methyl_L_methionine_exchange;S-methyl-L-methionine;
EX_ser_L_e_;R_L_Serine_exchange;serine;
EX_g3pc_e_;R_sn_Glycero_3_phosphocholine_exchange;glycerophosphocholine;
EX_g3pi_e_;R_sn_Glycero_3_phospho_1_inositol_exchange;glycerophosphoinositol;
EX_na1_e_;R_Sodium_exchange;sodium;
EX_srb_L_e_;R_L_Sorbose_exchange;sorbose;
EX_spmd_e_;R_Spermidine_exchange;spermidine;
EX_sprm_e_;R_Spermine_exchange;spermine;
EX_ocdca_e_;R_octadecanoate__n_C180__exchange;stearate;
EX_succ_e_;R_Succinate_exchange;succinate;
EX_sucr_e_;R_Sucrose_exchange;sucrose;
EX_so4_e_;R_Sulfate_exchange;sulphate;
EX_so3_e_;R_Sulfite_exchange;sulphite;
EX_taur_e_;R_Taurine_exchange;taurine;
EX_thm_e_;R_Thiamin_exchange;thiamine;
EX_thmpp_e_;R_Thiamine_diphosphate_exchange;thiamine diphosphate;
EX_thmmp_e_;R_Thiamin_monophosphate_exchange;thiamine monophosphate;
EX_thr_L_e_;R_L_Threonine_exchange;threonine;
EX_thymd_e_;R_Thymidine_exchange;thymidine;
EX_thym_e_;R_Thymine_exchange;thymine;not present in Yeast
EX_tre_e_;R_Trehalose_exchange;trehalose;
EX_trp_L_e_;R_L_Tryptophan_exchange;tryptophan;
EX_ind3eth_e_;R_Indole_3_ethanol_exchange;tryptophol;
EX_tyr_L_e_;R_L_Tyrosine_exchange;tyrosine;
EX_ura_e_;R_Uracil_exchange;uracil;
EX_urea_e_;R_Urea_exchange;urea;
EX_uri_e_;R_Uridine_exchange;uridine;
EX_val_L_e_;R_L_Valine_exchange;valine;
EX_h2o_e_;R_H2O_exchange;water;
EX_xan_e_;R_Xanthine_exchange;xanthine;
EX_xtsn_e_;R_Xanthosine_exchange;xanthosine;
EX_xylt_e_;R_Xylitol_exchange;xylitol;
EX_xyl_D_e_;R_D_Xylose_exchange;xylose;
EX_zymst_e_;R_zymosterol_exchange;zymosterol;
EX_zymstest_SC_e_;R_zymosterol_ester__yeast_specific_exchange;zymosterol ester;no drain in Yeast 
EX_nad_c_;NAD(+) exchange;NAD(+);added
EX_ppmi12346p_c_;5-diphospho-1D-myo-inositol pentakisphosphate exchange;5-diphospho-1D-myo-inositol pentakisphosphate;added
EX_5mta_c_;5'-S-methyl-5'-thioadenosine;5'-S-methyl-5'-thioadenosine;added
EX_actn_R_c_;acetoin exchange;acetoin;added
EX_adp_c_;ADP exchange;ADP;added
EX_amp_c_;AMP exchange;AMP;added
EX_atp_c_;ATP exchange;ATP;added
EX_clpn_SC_m_;cardiolipin exchange;cardiolipin;added
EX_cdpdag_SC_m_;CDP-diacylglycerol exchange;CDP-diacylglycerol;added
EX_datp_c_m_;dATP exchange;dATP;added
EX_Dara14lac_c_;dehydro-D-arabinono-1,4-lactone exchange;dehydro-D-arabinono-1,4-lactone;added
EX_glycogen_c_;glycogen exchange;glycogen;added
EX_h2o2_c_;hydrogen peroxide exchange;hydrogen peroxide;added
EX_h2s_c_;hydrogen sulfide exchange;hydrogen sulfide;added
EX_imp_c_;IMP exchange;IMP;added
EX_mipc124_SC_c_;mannosylinositol phosphorylceramide exchange;mannosylinositol phosphorylceramide;added
EX_minohp_c_;myo-inositol hexakisphosphate exchange;myo-inositol hexakisphosphate;added
EX_orn_c_;N(2)-acetyl-L-ornithine exchange;N(2)-acetyl-L-ornithine;added
EX_nadph_c_;NADPH exchange;NADPH;added
EX_ps_SC_c_;phosphatidyl-L-serine exchange;phosphatidyl-L-serine;added
EX_pc_SC_c_;phosphatidylcholine exchange;phosphatidylcholine;added
EX_pg_SC_m_;phosphatidylglycerol exchange;phosphatidylglycerol;added
EX_ptd1ino_SC_c_;phosphatidylinositol exchange;phosphatidylinositol;added
EX_pydx5p_c_;pyridoxal 5'-phosphate exchange;pyridoxal 5'-phosphate;added
EX_rnam_c_;ribosylnicotinamide exchange;ribosylnicotinamide;added
EX_s_c_;sulfur exchange;sulfur;added
EX_triglyc_SC_c_;triglyceride exchange;triglyceride;added
EX_ala_B_c_;beta-alanine exchange;beta-alanine;added
EX_dtmp_c_;dTMP exchange;dTMP;added
EX_hemeA_m_;heme exchange;heme;added
