Reaction_ID;Deafult_name;Mod_name;Notes
M571xtO;Exchange of N(2)-acetyl-L-ornithine;N(2)-acetyl-L-ornithine;added
M587xtO;Exchange of NADPH;NADPH;added
M639xtO;Exchange of palmitoleate;palmitoleate;added
M660xtO;Exchange of phosphatidyl-L-serine;phosphatidyl-L-serine;added
M653xtO;Exchange of phosphatidylcholine;phosphatidylcholine;added
M656xtO;Exchange of phosphatidylglycerol;phosphatidylglycerol;added
M43xtO;Exchange of phosphatidylinositol;phosphatidylinositol;added
M678xtO;Exchange of putrescine;putrescine;added
M683xtO;Exchange of pyridoxal 5'-phosphate;pyridoxal 5'-phosphate;added
M730xtO;Exchange of spermidine;spermidine;added
M765xtO;Exchange of triglyceride;triglyceride;added
LACxtO;Exchange of (R)-lactate;lactate;added
LACxtO;Exchange of (R)-lactate;S-lactate;added
M223xtO;Exchange of Beta-alanine;beta-alanine;added
M350xtO;Exchange of dTMP;dTMP;added
M433xtO;Exchange of heme;heme;added
