;ADH3 (YMR083W);ALD5 (YER073W);ALD6 (YPL061W);COX5A (YNL052W);CTP1 (YBR291C);DAL7 (YIR031C);FUM1 (YPL262W);GCV2 (YMR189W);GLY1 (YEL046C);GND2 (YGR256W);GPD1 (YDL022W);ICL1 (YER065C);IDP1 (YDL066W);IDP2 (YLR174W);LSC1 (YOR142W);MAE1 (YKL029C);MDH1 (YKL085W);MDH3 (YDL078C);OAC1 (YKL120W);PCK1 (YKR097W);PDA1 (YER178W);PGM1 (YKL127W);PGM2 (YMR105C);RPE1 (YJL121C);SDH1 (YKL148C);SER33 (YIL074C);SFC1 (YJR095W);SOL3 (YHR163W);SOL4 (YGR248W);TAL1 (YLR354C);ZWF1 (YNL241C)
r_0025;0.40429743525745754;0.45483461466464165;0.13191448532207842;0.373413603397508;0.39001866316581746;0.4014898141792819;0.2510281393090149;0.44337140183587737;0.3677983612411568;0.4351812671174045;0.4604498568209947;0.44079650927375524;0.4205744948993452;0.3761404032676595;0.49975655191546814;0.3439588886319328;0.2799369662766849;0.40429743525745393;0.3284916661466817;0.3762212244756878;0.22229491978331675;0.41272029849199054;0.4520269935864624;0.12909860020992525;0.37622122447568607;0.40710505633563343;0.3620939563193357;0.34252977153756475;0.44641175143011236;0.3425297715375699;0.182472743281506
r_0026;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0027;0.39038436562309164;0.43918241132597996;0.1273749180134239;0.3605633376935452;0.3765969682795444;0.3876733630840435;0.24238951913036458;0.4281136815297844;0.35514133261544895;0.4202053935526356;0.4446044164040779;0.4256273986307313;0.4061012835364122;0.3631963003212016;0.4825584519507658;0.3321222467154493;0.2703035079230338;0.39038436562308815;0.3171872970687595;0.36327434023259736;0.21464509460858724;0.3985173732402419;0.4364714087869283;0.12465593583023149;0.3632743402325957;0.39309536816214;0.34963323312616024;0.33074230976400487;0.4310494037088332;0.3307423097640098;0.17619331689327605
r_0028;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0029;0.40429743525745754;0.45483461466464165;0.13191448532207842;0.373413603397508;0.39001866316581746;0.4014898141792819;0.2510281393090149;0.44337140183587737;0.3677983612411568;0.4351812671174045;0.4604498568209947;0.44079650927375524;0.4205744948993452;0.3761404032676595;0.49975655191546814;0.3439588886319328;0.2799369662766849;0.40429743525745393;0.3284916661466817;0.3762212244756878;0.22229491978331675;0.41272029849199054;0.4520269935864624;0.12909860020992525;0.37622122447568607;0.40710505633563343;0.3620939563193357;0.34252977153756475;0.44641175143011236;0.3425297715375699;0.182472743281506
r_0030;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0032;0.07815871471070276;0.08792855404954097;0.025501686939794512;0.07218825733696765;0.07539834480229884;0.07761594585854532;0.04852871923888863;0.08571248760187528;0.07110271963265279;0.08412917208443745;0.08901409175385618;0.08521470978875229;0.08130539324471169;0.07271540184627856;0.09661285568406337;0.06649407664848095;0.054117368986687064;0.07815871471070235;0.06350395570244555;0.07273102618912586;0.04297401789333351;0.07978702126717624;0.08738578519738284;0.02495732048592685;0.07273102618912555;0.07870148356286023;0.06999994499695678;0.06621779996323368;0.0863002474930682;0.06621779996323467;0.03527560118093892
r_0033;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0034;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0035;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0036;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0037;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0038;0.0027007723407886843;0.0030383688833872827;0.0008812101246211717;0.0024944633425339605;0.0026053878308647726;0.0026820169773109927;0.001676908622914472;0.002961792765300395;0.002456952615578578;0.0029070813390433907;0.003075879610342677;0.00294459206599877;0.002809505735157569;0.002512678807253596;0.0033384546990304553;0.002297701077905624;0.0018700242686499194;0.00270077234078866;0.0021943775268907888;0.0025132187060116795;0.0014849660633298489;0.0027570384312217994;0.0030196135199095668;0.0008623995560582053;0.002513218706011668;0.002719527704266377;0.0024188462669105424;0.002288154344279279;0.002982102792954192;0.002288154344279313;0.0012189474753622872
r_0039;0.36051218670224705;0.40557621004002964;0.11762819996837155;0.3329730613291544;0.3477797998472522;0.35800862985014914;0.2238418934526742;0.3953544585196436;0.3279659476249586;0.3880513120753374;0.410583323744227;0.39305842577953276;0.3750264473748209;0.33540454987733603;0.44563311967361074;0.49353226607304973;0.24961990616372406;0.36051218670224383;0.29291615169557345;0.335476618181256;0.19822046996872678;0.3680228572585462;0.4030726531879285;0.11511727407383011;0.33547661818125446;0.3630157435543452;0.3228793274466951;0.3054339359560673;0.39806553948373374;0.30543393595607193;0.16271101905972346
r_0040;0.36051218670224705;0.40557621004002964;0.11762819996837155;0.3329730613291544;0.3477797998472522;0.35800862985014914;0.2238418934526742;0.3953544585196436;0.3279659476249586;0.3880513120753374;0.410583323744227;0.39305842577953276;0.3750264473748209;0.33540454987733603;0.44563311967361074;0.49353226607304973;0.24961990616372406;0.36051218670224383;0.29291615169557345;0.335476618181256;0.19822046996872678;0.3680228572585462;0.4030726531879285;0.11511727407383011;0.33547661818125446;0.3630157435543452;0.3228793274466951;0.3054339359560673;0.39806553948373374;0.30543393595607193;0.16271101905972346
r_0041;0.0005877589907302242;0.000661228864571505;0.00019177446600972871;0.0005428607344938806;0.0005670008163230456;0.0005836773310723771;0.00036493935637062924;0.0006445638901858284;0.0005346974151781864;0.0006326572469665641;0.0006693921838872018;0.0006408205662822575;0.0006114222329693921;0.0005468248980028153;0.0007265354190970824;0.000500040098216936;0.00040696639260669204;0.000587758990730219;0.0004775541799683034;0.0005469423941517336;0.000323167614489309;0.0006000039697037743;0.0006571472049136526;0.00018768079227549526;0.0005469423941517311;0.0005918406503880717;0.0005264044729352286;0.000497962478257546;0.0006489838855979602;0.0004979624782575535;0.0002652749834008129
r_0042;0.0;0.0;0.0;0.0;0.3477797998472522;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0043;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0044;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0045;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0057;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0058;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0059;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0060;-0.40429743525745754;-0.45483461466464165;-0.13191448532207842;-0.373413603397508;-0.39001866316581746;-0.4014898141792819;-0.2510281393090149;-0.44337140183587737;-0.3677983612411568;-0.4351812671174045;-0.4604498568209947;-0.44079650927375524;-0.4205744948993452;-0.3761404032676595;-0.49975655191546814;-0.3439588886319328;-0.2799369662766849;-0.40429743525745393;-0.3284916661466817;-0.3762212244756878;-0.22229491978331675;-0.41272029849199054;-0.4520269935864624;-0.12909860020992525;-0.37622122447568607;-0.40710505633563343;-0.3620939563193357;-0.34252977153756475;-0.44641175143011236;-0.3425297715375699;-0.182472743281506
r_0061;0.40429743525745754;0.45483461466464165;0.13191448532207842;0.373413603397508;0.39001866316581746;0.4014898141792819;0.2510281393090149;0.44337140183587737;0.3677983612411568;0.4351812671174045;0.4604498568209947;0.44079650927375524;0.4205744948993452;0.3761404032676595;0.49975655191546814;0.3439588886319328;0.2799369662766849;0.40429743525745393;0.3284916661466817;0.3762212244756878;0.22229491978331675;0.41272029849199054;0.4520269935864624;0.12909860020992525;0.37622122447568607;0.40710505633563343;0.3620939563193357;0.34252977153756475;0.44641175143011236;0.3425297715375699;0.182472743281506
r_0062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0063;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0065;0.36051218670224705;0.40557621004002964;0.11762819996837155;0.3329730613291544;0.3477797998472522;0.35800862985014914;0.2238418934526742;0.3953544585196436;0.3279659476249586;0.3880513120753374;0.410583323744227;0.39305842577953276;0.3750264473748209;0.33540454987733603;0.44563311967361074;0.49353226607304973;0.24961990616372406;0.36051218670224383;0.29291615169557345;0.335476618181256;0.19822046996872678;0.3680228572585462;0.4030726531879285;0.11511727407383011;0.33547661818125446;0.3630157435543452;0.3228793274466951;0.3054339359560673;0.39806553948373374;0.30543393595607193;0.16271101905972346
r_0066;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18682398582534449;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0067;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18682398582534449;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0068;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0069;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0070;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0072;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0073;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0074;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0075;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0076;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0079;0.13502497677503467;0.15190309887187503;0.04405605567486293;0.12471056882702936;0.1302562330188351;0.1340873033251846;0.08383696191023482;0.14807467971564936;0.12283522192733232;0.14533938472308616;0.15377844577153787;0.14721473162279297;0.14046109733489853;0.1256212500656398;0.16690587406913765;0.1148734493443843;0.09349176886549238;0.13502497677509842;0.10970779362976102;0.12564824227679874;0.07424080333786934;0.1378379971244632;0.1509654254220969;0.04311562224959853;0.12564824227683236;0.1359626502248732;0.12093009695027712;0.11439616087891391;0.149090078522379;0.11439616087881319;0.06094121746773773
r_0080;0.09603700919086307;0.10804163533972141;0.03133503093141557;0.08870084876655987;0.09264522273115962;0.0953700855159268;0.05962934616845415;0.1053186581952045;0.08736700141668734;0.10337316961516566;0.10937548268959438;0.10470701696503808;0.09990346984608027;0.08934857413247672;0.11871241413870569;0.08170416151116226;0.06649636297112872;0.09603700919086221;0.07803006996757562;0.08936777244149713;0.05280404324286094;0.09803778021567335;0.10737471166478428;0.03066614421383336;0.08936777244149673;0.09670393286579941;0.08601197430018714;0.08136468834225817;0.10604086431491201;0.08136468834225939;0.04334466408981442
r_0081;1.0912211477934077e-05;1.2276237912675889e-05;3.56044494796433e-06;1.0078639767813981e-05;1.0526819518645545e-05;1.0836432231559566e-05;6.775388375412007e-06;1.1966839455759173e-05;9.92708127506496e-06;1.1745783188054103e-05;1.2427796405424958e-05;1.189734168080311e-05;1.1351538323868965e-05;1.0152237605065033e-05;1.3488705854668506e-05;9.283640718810602e-06;7.555653610706744e-06;1.0912211477933979e-05;8.866171825821368e-06;1.0154419014188604e-05;5.999862882140803e-06;1.1139549217057774e-05;1.220045866630128e-05;3.484442650740223e-06;1.0154419014188558e-05;1.0987990724308595e-05;9.773116229941585e-06;9.245068057694055e-06;1.204890017355229e-05;9.245068057694194e-06;4.9250403044940895e-06
r_0082;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0083;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0084;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0085;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0086;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0087;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
