Reaction;Reaction_name;Yeast7_ID;ADH3;Real Flux;ALD5;Real Flux;ALD6;Real Flux;COX5A;Real Flux;CTP1;Real Flux;DAL7;Real Flux;FUM1;Real Flux;GND2;Real Flux;GCV2;Real Flux;GLY1;Real Flux;GPD1;Real Flux;ICL1;Real Flux;IDP1;Real Flux;IDP2;Real Flux;LSC1;Real Flux;MAE1;Real Flux;MDH1;Real Flux;MDH3;Real Flux;OAC1;Real Flux;PCK1;Real Flux;PDA1;Real Flux;PGM1;Real Flux;PGM2;Real Flux;RPE1;Real Flux;SDH1;Real Flux;SER33;Real Flux;SFC1;Real Flux;SOL3;Real Flux;SOL4;Real Flux;TAL1;Real Flux;ZWF1;Real Flux
D-Glyceraldehyde-3-phosphate <==> Glycerone-phosphate;R01015;r_1054;-89,87512417;-12,94201788;-91,58086389;-14,83609995;-92,74720641;-4,359118701;-92,67334361;-12,3255547;-89,79083289;-12,48092577;-91,68705866;-13,11124939;-91,46803297;-8,323591;-92,33331157;-14,31166329;-93,13328768;-14,90132603;-91,93165275;-12,04304651;-91,33223383;-14,97848635;-91,76661264;-14,40735818;-90,3942294;-13,55913441;-91,25233645;-12,22781308;-91,80488869;-16,34127019;-89,23100969;-11,15387621;-91,2174259;-9,12174259;-90,27929155;-13,00021798;-90,73540958;-10,61604292;-92,61637239;-12,4105939;-94,2880893;-7,543047144;-92,21601743;-13,55575456;-91,72263682;-14,76734453;-87,37814264;-4,019394561;-92,61637239;-12,4105939;-91,88809317;-13,32377351;-92,42588856;-11,92293962;-91,32451469;-11,14159079;-92,32408046;-14,67952879;-91,38651803;-11,1491552;-94,07601169;-6,11494076
D-Glyceraldehyde-3-phosphate <==> 3-Phospho-D-glyceroyl-phosphate;R01061;r_0486;170,8386547;24,60076628;173,2546459;28,06725264;170,2298124;8,000801181;161,7257319;21,50952234;169,4857661;23,55852148;172,2156191;24,62683353;165,5045667;15,06091557;174,9232678;27,11310651;173,3362386;27,73379817;174,3927668;22,84545246;171,8709914;28,18684259;172,7714749;27,12512156;171,104128;25,6656192;170,1831776;22,80454579;170,9079005;30,42160629;165,8408878;20,73011097;170,4495723;17,04495723;170,6948229;24,5800545;170,6795778;19,9695106;174,1496599;23,33605442;168,7448047;13,49958437;167,502043;24,62280033;172,5310945;27,77750622;165,7773217;7,625756798;174,1496599;23,33605442;167,7531624;24,32420855;173,3509235;22,36226913;172,9857413;21,10426044;173,4569835;27,57966038;172,6005922;21,05727225;173,2881982;11,26373288
D-Fructose-1,6-bisphosphate <==> Glycerone-phosphate + D-Glyceraldehyde-3-phosphate;R01070;r_0450;89,87512417;12,94201788;91,58086389;14,83609995;92,74720641;4,359118701;92,67334361;12,3255547;89,79083289;12,48092577;91,68705866;13,11124939;91,46803297;8,323591;92,33331157;14,31166329;93,13328768;14,90132603;91,93165275;12,04304651;91,33223383;14,97848635;91,76661264;14,40735818;90,3942294;13,55913441;91,25233645;12,22781308;91,80488869;16,34127019;89,23100969;11,15387621;91,2174259;9,12174259;90,27929155;13,00021798;90,73540958;10,61604292;92,61637239;12,4105939;94,2880893;7,543047144;92,21601743;13,55575456;91,72263682;14,76734453;87,37814264;4,019394561;92,61637239;12,4105939;91,88809317;13,32377351;92,42588856;11,92293962;91,32451469;11,14159079;92,32408046;14,67952879;91,38651803;11,1491552;94,07601169;6,11494076
(S)-Malate-mit <==> Fumarate;R01082;r_0452;-1,482900525;-0,213537676;-1,312154696;-0,212569061;-4,40649378;-0,207105208;-1,610169492;-0,214152542;-1,578192253;-0,219368723;-1,461231909;-0,208956163;-2,327912675;-0,211840053;-1,364853393;-0,211552276;-1,301126813;-0,20818029;-1,601409854;-0,209784691;-1,276647731;-0,209370228;-1,354943274;-0,212726094;-1,492643908;-0,223896586;-1,562616822;-0,209390654;-1,140331733;-0,202979048;-1,633322913;-0,204165364;-2,078774617;-0,207877462;-1,423705722;-0,205013624;-1,823257437;-0,21332112;-1,59749293;-0,214064053;-2,481890512;-0,198551241;-1,423317897;-0,209227731;-1,299751244;-0,20925995;-5,361723961;-0,246639302;-1,59749293;-0,214064053;-1,398835419;-0,202831136;-1,621915257;-0,209227068;-1,795224188;-0,219017351;-1,309605865;-0,208227333;-1,820240376;-0,222069326;-3,215879366;-0,209032159
Citrate <==> Isocitrate;R01324;r_0302;6,250886902;0,900127714;10,86137619;1,759542943;5,69259962;0,267552182;5,385208012;0,716232666;6,486445669;0,901615948;5,082849752;0,726847515;6,694141234;0,609166852;4,590870502;0,711584928;9,275975845;1,484156135;6,091487242;0,797984829;4,935556777;0,809431311;3,293354943;0,517056726;5,699185831;0,854877875;4,590654206;0,615147664;4,386730685;0,780838062;9,917161613;1,239645202;6,156753531;0,615675353;8,528610354;1,228119891;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3-Phospho-D-glycerate <==> 3-Phospho-D-glyceroyl-phosphate;R01512;r_0892;-170,8386547;-24,60076628;-173,2546459;-28,06725264;-170,2298124;-8,000801181;-161,7257319;-21,50952234;-169,4857661;-23,55852148;-172,2156191;-24,62683353;-165,5045667;-15,06091557;-174,9232678;-27,11310651;-173,3362386;-27,73379817;-174,3927668;-22,84545246;-171,8709914;-28,18684259;-172,7714749;-27,12512156;-171,104128;-25,6656192;-170,1831776;-22,80454579;-170,9079005;-30,42160629;-165,8408878;-20,73011097;-170,4495723;-17,04495723;-170,6948229;-24,5800545;5,557009509;0,650170113;5,296950241;0,709791332;26,52891581;2,122313264;9,935984745;1,460589758;10,2238806;1,646044776;34,94099538;1,607285788;5,296950241;0,709791332;3,995716485;0,57937889;7,527549278;0,971053857;13,82923896;1,687167153;4,824863713;0,76715333;7,655460721;0,933966208;57,39344515;3,730573934
2-Phospho-D-glycerate <==> 3-Phospho-D-glycerate;R01518;r_0893;-170,8386547;-24,60076628;-173,2546459;-28,06725264;-170,2298124;-8,000801181;-161,7257319;-21,50952234;-169,4857661;-23,55852148;-172,2156191;-24,62683353;-165,5045667;-15,06091557;-174,9232678;-27,11310651;-173,3362386;-27,73379817;-174,3927668;-22,84545246;-171,8709914;-28,18684259;-172,7714749;-27,12512156;-171,104128;-25,6656192;-170,1831776;-22,80454579;-170,9079005;-30,42160629;-165,8408878;-20,73011097;-170,4495723;-17,04495723;-170,6948229;-24,5800545;-170,6795778;-19,9695106;-174,1496599;-23,33605442;-168,7448047;-13,49958437;-167,502043;-24,62280033;-172,5310945;-27,77750622;-165,7773217;-7,625756798;-174,1496599;-23,33605442;-167,7531624;-24,32420855;-173,3509235;-22,36226913;-172,9857413;-21,10426044;-173,4569835;-27,57966038;-172,6005922;-21,05727225;-173,2881982;-11,26373288
6-Phospho-D-gluconate <==> D-Ribulose-5-phosphate + CO2;R01528;r_0889;12,55853555;1,808429119;7,791310899;1,262192366;2,361374657;0,110984609;8,613251156;1,145562404;11,66654081;1,621649173;8,704467594;1,244738866;9,779460904;0,889930942;8,104225168;1,256154901;4,930585818;0,788893731;7,800168569;1,021822083;9,999389164;1,639899823;7,818476499;1,22750081;10,70561348;1,605842023;6,287850467;0,842571963;9,149934526;1,628688346;10,80806502;1,351008128;7,012134474;0,701213447;10,69482289;1,540054496;-170,6795778;-19,9695106;-174,1496599;-23,33605442;-168,7448047;-13,49958437;-167,502043;-24,62280033;-172,5310945;-27,77750622;-165,7773217;-7,625756798;-174,1496599;-23,33605442;-167,7531624;-24,32420855;-173,3509235;-22,36226913;-172,9857413;-21,10426044;-173,4569835;-27,57966038;-172,6005922;-21,05727225;-173,2881982;-11,26373288
Sedoheptulose-7-phosphate + D-Glyceraldehyde-3-phosphate <==> D-Ribose-5-phosphate + D-Xylulose-5-phosphate;R01641;r_1049;-4,129416773;-0,594636015;-2,542692115;-0,411916123;-0,73792958;-0,03468269;-2,82742681;-0,376047766;-3,828437665;-0,532152835;-2,852548416;-0,407914424;-3,20784139;-0,291913566;-2,657872396;-0,411970221;-1,593724709;-0,254995953;-2,551528618;-0,334250249;-3,286298943;-0,538953027;-2,554294976;-0,401024311;-3,513783745;-0,527067562;-2,041121495;-0,27351028;-3,000872981;-0,534155391;-3,532353861;-0,441544233;-2,277700418;-0,227770042;-3,508174387;-0,505177112;10,65166187;1,246244439;6,986165253;0,936146144;3,835648973;0,306851918;5,216562245;0,76683465;6,25;1,00625;9,004617753;0,414212417;6,986165253;0,936146144;9,597751155;1,391673917;5,051994413;0,651707279;5,248239134;0,640285174;6,842533993;1,087962905;4,363351333;0,532328863;1,215571626;0,079012156
Sedoheptulose-7-phosphate + D-Glyceraldehyde-3-phosphate <==> D-Erythrose-4-phosphate + D-Fructose-6-phosphate;R01827;r_1048;4,129416773;0,594636015;2,542692115;0,411916123;0,73792958;0,03468269;2,82742681;0,376047766;3,828437665;0,532152835;2,852548416;0,407914424;3,20784139;0,291913566;2,657872396;0,411970221;1,593724709;0,254995953;2,551528618;0,334250249;3,286298943;0,538953027;2,554294976;0,401024311;3,513783745;0,527067562;2,041121495;0,27351028;3,000872981;0,534155391;3,532353861;0,441544233;2,277700418;0,227770042;3,508174387;0,505177112;-3,498211637;-0,409290762;-2,285408545;-0,306244745;-1,235007719;-0,098800618;-1,682102969;-0,247269136;-2,027363184;-0,326405473;-2,924576706;-0,134530528;-2,285408545;-0,306244745;-3,152399438;-0,457097918;-1,629675617;-0,210228155;-1,683559526;-0,205394262;-2,23071621;-0,354683877;-1,393485455;-0,170005226;-0,3539006;-0,023003539
