;ADH3 (YMR083W)_maximum;ADH3 (YMR083W)_minimum;ALD5 (YER073W)_maximum;ALD5 (YER073W)_minimum;ALD6 (YPL061W)_maximum;ALD6 (YPL061W)_minimum;COX5A (YNL052W)_maximum;COX5A (YNL052W)_minimum;CTP1 (YBR291C)_maximum;CTP1 (YBR291C)_minimum;DAL7 (YIR031C)_maximum;DAL7 (YIR031C)_minimum;FUM1 (YPL262W)_maximum;FUM1 (YPL262W)_minimum;GCV2 (YMR189W)_maximum;GCV2 (YMR189W)_minimum;GLY1 (YEL046C)_maximum;GLY1 (YEL046C)_minimum;GND2 (YGR256W)_maximum;GND2 (YGR256W)_minimum;GPD1 (YDL022W)_maximum;GPD1 (YDL022W)_minimum;ICL1 (YER065C)_maximum;ICL1 (YER065C)_minimum;IDP1 (YDL066W)_maximum;IDP1 (YDL066W)_minimum;IDP2 (YLR174W)_maximum;IDP2 (YLR174W)_minimum;LSC1 (YOR142W)_maximum;LSC1 (YOR142W)_minimum;MAE1 (YKL029C)_maximum;MAE1 (YKL029C)_minimum;MDH1 (YKL085W)_maximum;MDH1 (YKL085W)_minimum;MDH3 (YDL078C)_maximum;MDH3 (YDL078C)_minimum;OAC1 (YKL120W)_maximum;OAC1 (YKL120W)_minimum;PCK1 (YKR097W)_maximum;PCK1 (YKR097W)_minimum;PDA1 (YER178W)_maximum;PDA1 (YER178W)_minimum;PGM1 (YKL127W)_maximum;PGM1 (YKL127W)_minimum;PGM2 (YMR105C)_maximum;PGM2 (YMR105C)_minimum;RPE1 (YJL121C)_maximum;RPE1 (YJL121C)_minimum;SDH1 (YKL148C)_maximum;SDH1 (YKL148C)_minimum;SER33 (YIL074C)_maximum;SER33 (YIL074C)_minimum;SFC1 (YJR095W)_maximum;SFC1 (YJR095W)_minimum;SOL3 (YHR163W)_maximum;SOL3 (YHR163W)_minimum;SOL4 (YGR248W)_maximum;SOL4 (YGR248W)_minimum;TAL1 (YLR354C)_maximum;TAL1 (YLR354C)_minimum;ZWF1 (YNL241C)_maximum;ZWF1 (YNL241C)_minimum
r_0001;12.208676928991434;0.0;13.734761545432233;0.0;3.989320222418533;0.0;11.276069663771873;0.0;11.764964567329853;0.0;12.123894450404695;0.0;7.295191766120667;0.0;14.079999999972319;0.0;11.10650470643736;0.0;13.141284194836878;0.0;13.904326502424324;0.0;13.310849151957278;0.0;12.695126986624683;0.0;11.201629661961343;0.0;14.880177130480012;0.0;10.568252257099894;0.0;7.935114698902977;0.0;12.208676929256711;0.0;9.919550004618518;0.0;11.360852142514695;0.0;6.340030121875508;0.0;12.463024365456805;0.0;13.649979066654996;0.0;3.893520156246596;0.0;11.360852142270234;0.0;12.293459407851605;0.0;10.928194122878374;0.0;10.343462398384695;0.0;13.480414109342963;0.0;10.33861220451975;0.0;5.51635646253208;0.0
r_0002;12.208676928990966;0.0;13.734761545363995;0.0;3.989320222418531;0.0;11.27606966394447;0.0;11.764964567330182;0.0;12.12389445040467;0.0;7.295191765925801;0.0;14.079999999983398;0.0;11.106504706427346;0.0;13.141284194763827;0.0;13.904326502424396;0.0;13.310849151962522;0.0;12.695126986630207;0.0;11.201629661961318;0.0;14.880177130480195;0.0;10.568252257099887;0.0;7.935114698902977;0.0;12.208676929621367;0.0;9.91955000470409;0.0;11.360852142514625;0.0;6.340030121940621;0.0;12.463024365457205;0.0;13.649979066663105;0.0;3.893520156338222;0.0;11.360852142270232;0.0;12.29345940785133;0.0;10.928194122863674;0.0;10.343462398398163;0.0;13.480414109342963;0.0;10.338612204180848;0.0;5.516356462532102;0.0
r_0003;0.0;-1.693266331660148;0.0;-1.9049246230860601;0.0;-0.5526633165885775;0.0;-1.5639195979804228;0.0;-1.6348931349464615;0.0;-1.6815075376824093;0.0;-1.0700502512565828;0.0;-1.8997281043435892;0.0;-1.540402010067522;0.0;-1.8226130653171155;0.0;-1.928442211062494;0.0;-1.8461306532653639;0.0;-1.7692307692281837;0.0;-1.5756783919613977;0.0;-2.0930653266304002;0.0;-1.4698492462418637;0.0;-1.1794871794827984;0.0;-1.6932663316654646;0.0;-1.3757788944513374;0.0;-1.575678391952809;0.0;-0.9435897435810082;0.0;-1.7285427135518883;0.0;-1.89316582915297;0.0;-0.5425641025717104;0.0;-1.575678391955162;0.0;-1.7050251256126567;0.0;-1.5168844220782176;0.0;-1.43457286431689;0.0;-1.869648241198823;0.0;-1.4345728643112998;0.0;-0.7609756097279684
r_0004;10.765976715809805;0.0;12.11172380550975;0.0;3.5137871808119865;0.0;9.943575717010212;0.0;10.39399046000666;0.0;10.691212988695819;0.0;6.546907384043955;0.0;12.464882649558309;0.0;9.794048262447747;0.0;11.588377715259634;0.0;12.2612512596396;0.0;11.7379051695144;0.0;11.253129615580058;0.0;9.82060682692506;0.0;13.045634744791906;0.0;9.30381598529172;0.0;7.157069919366165;0.0;10.765976716373359;0.0;8.747356081508302;0.0;10.018339444110888;0.0;5.756949715333008;0.0;10.990267897788053;0.0;12.036960078291987;0.0;3.1557148059472246;0.0;10.01833944389291;0.0;10.840740443160126;0.0;9.644300486377457;0.0;9.121174717764262;0.0;11.88743262392885;0.0;9.121174717417585;0.0;4.3936477976929575;0.0
r_0005;1.5478971981410874;1.3931074783291775;1.7413843479125755;1.567245913120498;0.5050491138248334;0.454544202441337;1.429655051066465;1.2866895459570566;1.493229348719694;1.3439064138481849;1.5371479120457494;1.3834331208423019;0.9610888410516532;0.8649799569469419;1.6974961768004537;1.5277465591204054;1.408156478866729;1.2673408309797258;1.6661393452276352;1.499525410702491;1.7628829201063403;1.5865946280988312;1.6876379174228124;1.5188741256800686;1.6102157112368654;1.449194140116877;1.4400949042795865;1.296085413850371;1.9133729254875445;1.7220356329364983;1.3168844359623937;1.1851959923658786;1.0717694602768677;0.964592514249665;1.5478971981504124;1.393107478329321;1.2576664734927858;1.1318998261469289;1.4404043371644932;1.2963639034468177;0.8510805498316818;0.7659724948438446;1.5801450564423134;1.4221305507947113;1.7306350618147788;1.5575715556328946;0.4942681900061868;0.44484137100608545;1.4404043371606639;1.296363903446568;1.558646484244073;1.402781835819893;1.3863165372153752;1.2476848834970606;1.3114129039849027;1.180271613585365;1.7091364896170567;1.5382228406544463;1.3114129039808184;1.180271613586894;0.698616967190148;0.6287552704729352
r_0006;1.5478971981410872;1.3931074783291775;1.7413843479125748;1.567245913120498;0.5050491138248334;0.45454420244133703;1.429655051066465;1.2866895459570566;1.4932293487196937;1.3439064138481849;1.5371479120457494;1.3834331208423019;0.9610888410516532;0.8649799569469419;1.6974961768004533;1.5277465591204051;1.408156478866729;1.2673408309797258;1.666139345227635;1.499525410702491;1.7628829201063398;1.5865946280988312;1.6876379174228124;1.5188741256800684;1.6102157112368651;1.449194140116877;1.4400949042795863;1.296085413850371;1.9133729254875442;1.7220356329364983;1.3168844359623937;1.1851959923658788;1.0717694602768673;0.9645925142496651;1.5478971981504124;1.393107478329321;1.2576664734927854;1.1318998261469289;1.440404337164493;1.2963639034468177;0.8510805498316817;0.7659724948438446;1.5801450564423132;1.4221305507947113;1.7306350618147788;1.5575715556328946;0.4942681900061866;0.4448413710060855;1.4404043371606634;1.296363903446568;1.5586464842440733;1.4027818358198927;1.386316537215375;1.2476848834970604;1.3114129039849027;1.1802716135853653;1.7091364896170562;1.5382228406544463;1.3114129039808182;1.1802716135868943;0.6986169671901479;0.6287552704729351
r_0007;1.2891333928246775;0.0813914573609662;1.4502750669560194;0.09156538953109712;0.42075001704302156;0.02655646864809715;1.1906579253589482;0.07517405436812906;1.2446234880295701;0.07851691508471505;1.280181077607304;0.08082623890715951;0.5882632007695391;0.050535928045102436;1.2034169275940876;0.08925766379069694;1.172753294881283;0.07404361746030651;1.3876088603741272;0.08760886035387305;1.4681796973798842;0.0926958264389782;1.40551349081442;0.08873929726171004;1.3476760360425164;0.08466828647316613;1.1995939699893947;0.07572300223676386;1.5935121106200683;0.10060888479352292;1.1176314519870543;0.06924435521136565;0.8985609187793496;0.05635573113742755;1.289133392896265;0.08139145736097457;1.0474208816600605;0.06613055910604634;1.1996102405750726;0.07573927282210435;0.722052090806001;0.04475147727189539;1.3159903385575238;0.08308711272267302;1.4413227517255693;0.0910001710772479;0.4107168593440093;0.025989586621169774;1.1996102405470874;0.07573927282208974;1.2980857080719925;0.08195667581499724;1.154830714524517;0.0728952306801684;1.0921824578358803;0.06895665137531697;1.423418121272162;0.08986973416936005;1.0906215181564731;0.0689566513754063;0.5721892937319055;0.03673464437112759
r_0012;16.39569796739523;0.0;18.445160213949652;0.0;5.351305562198777;0.0;15.143248817642458;0.0;15.757760591004372;0.0;16.2818389538685;0.0;9.405886359742855;0.0;20.047371320294193;0.0;14.915530790038746;0.0;17.64814711822215;0.0;18.67287824059741;0.0;17.87586514534697;0.0;17.152050343300342;0.0;14.904756131413947;0.0;19.799175376657885;0.0;2.21471470612474;0.0;9.873051914347073;0.0;16.3956979683187;0.0;13.321504598252616;0.0;15.257107831165703;0.0;7.7273110360028445;0.0;16.737275009010318;0.0;18.331301199990214;0.0;3.9934515449079746;0.0;15.257107830795162;0.0;16.50955698130844;0.0;14.65965907181603;0.0;13.890799667152745;0.0;18.103583172695963;0.0;13.890799666595193;0.0;5.555483802289799;0.0
r_0013;0.9359999999843674;0.0;1.053000000020428;0.0;0.30550000000606475;0.0;0.8645000000179253;0.0;0.9037325940319707;0.0;0.9294999999926061;0.0;0.5914999999968996;0.0;1.0372238117186123;0.0;0.8515000000170353;0.0;1.0075000000156715;0.0;1.0659999999791983;0.0;1.0205000000033468;0.0;0.9788310059162487;0.0;0.8685872576187472;0.0;1.157000000015571;0.0;0.5685131195343418;0.0;0.6459800614506219;0.0;0.9360000000404247;0.0;0.7604999999715716;0.0;0.8710000000092898;0.0;0.5122969837868253;0.0;0.95550000002197;0.0;1.046500000002554;0.0;0.298028169010909;0.0;0.8709999999868926;0.0;0.9424999999991971;0.0;0.8384999999793841;0.0;0.7930000000066751;0.0;1.0335000000046624;0.0;0.7914305306050555;0.0;0.4183421525912738;0.0
r_0014;0.001350386170390972;0.0012153475533537947;0.0015191844416954795;0.0013672659975231703;0.00044060506052748515;0.00039654455447384897;0.0012472316712687696;0.0011225085041394842;0.0013026939154322024;0.001172424523889411;0.0013410084886546466;0.0012069076397901654;0.0008384543114567674;0.0007546088803114846;0.0014808963826509116;0.0013328067443859725;0.001228476307790397;0.0011056286770091022;0.001453540669523572;0.0013081866025691454;0.0015379398051685571;0.0013841458246544266;0.0014722960330001626;0.001325066429699743;0.0014047528675798495;0.0012642775808210333;0.00125633940362671;0.0011307054632638946;0.0016692273495176849;0.0015023046145639176;0.001148850538952513;0.0010339654850565917;0.0009350121304835462;0.0008415109174367014;0.0013503861703991617;0.0012153475533539196;0.0010971887634443336;0.0009874698871038595;0.0012566093530075864;0.001130948417705631;0.0007424830316649329;0.0006682347284943658;0.0013785192156132635;0.0012406672940489642;0.0015098067599547493;0.0013588260839589056;0.0004311997780279804;0.00038807980022561217;0.0012566093530041065;0.001130948417705413;0.0013597638521339714;0.0012237874669207738;0.001209423133453668;0.0010884808201111122;0.0011440771721404743;0.001029669454925548;0.0014910513964759278;0.001341946256827549;0.0011440771721369504;0.0010296694549268817;0.0006094737376800015;0.0005485263639127653
