R09644	r_0709	FALSO
R09376	r_0015	FALSO
R09087	r_0083	FALSO
R08747	r_0287	FALSO
R08648	r_0016	FALSO
R08639	r_0888	FALSO
R08193	r_0882	FALSO
R08185	r_0846	FALSO
R08174	r_0849	FALSO
R08163	r_0420	FALSO
R08162	r_0419	FALSO
R08159	r_0416	FALSO
R07760	r_0050	FALSO
R07759	r_0745	FALSO
R07509	r_0241	FALSO
R07497	r_0243	FALSO
R07495	r_0236	FALSO
R07475	r_0282	VERDADEIRO
R07475	r_0461	FALSO
R07411	r_0531	FALSO
R07396	r_0026	FALSO
R07392	r_0086	FALSO
R07281	r_0038	FALSO
R07273	r_0249	FALSO
R07267	r_0286	FALSO
R06866	r_0044	FALSO
R06865	r_0043	FALSO
R06527	r_0920	VERDADEIRO
R06527	r_0266	FALSO
R06525	r_0922	FALSO
R06520	r_1005	FALSO
R06517	r_0264	FALSO
R06223	r_1012	FALSO
R06171	r_0675	FALSO
R06126	r_0690	FALSO
R05802	r_0010	VERDADEIRO
R05802	r_0011	FALSO
R05801	r_0573	FALSO
R05800	r_0574	FALSO
R05779	r_0082	VERDADEIRO
R05779	r_0073	VERDADEIRO
R05779	r_0092	FALSO
R05763	r_1046	FALSO
R05706	r_0442	FALSO
R05705	r_0441	FALSO
R05686	r_0181	FALSO
R05685	r_0179	VERDADEIRO
R05685	r_0180	FALSO
R05641	r_0244	FALSO
R05640	r_0317	FALSO
R05639	r_0231	FALSO
R05616	r_0555	FALSO
R05613	r_1047	VERDADEIRO
R05613	r_0283	FALSO
R05612	r_0284	FALSO
R05611	r_0285	FALSO
R05578	r_0480	VERDADEIRO
R05578	r_0479	FALSO
R05577	r_0220	VERDADEIRO
R05577	r_0221	FALSO
R05553	r_0067	FALSO
R05202	r_0571	FALSO
R05086	r_0069	FALSO
R05070	r_0353	FALSO
R05051	r_0673	FALSO
R05002	r_0192	FALSO
R04983	r_0021	FALSO
R04982	r_0022	FALSO
R04744	r_0046	FALSO
R04743	r_0052	FALSO
R04742	r_0107	FALSO
R04741	r_0053	FALSO
R04740	r_0051	FALSO
R04739	r_0057	FALSO
R04738	r_0049	FALSO
R04737	r_0055	FALSO
R04711	r_0985	FALSO
R04640	r_0007	FALSO
R04621	r_0348	FALSO
R04620	r_0188	FALSO
R04591	r_0908	FALSO
R04560	r_0912	FALSO
R04559	r_0151	FALSO
R04558	r_0563	FALSO
R04509	r_0903	FALSO
R04502	r_0228	FALSO
R04481	r_0359	FALSO
R04463	r_0079	FALSO
R04457	r_0967	FALSO
R04448	r_0556	FALSO
R04444	r_0672	FALSO
R04441	r_0352	FALSO
R04427	r_0986	FALSO
R04426	r_0061	FALSO
R04420	r_0087	FALSO
R04405	r_0085	FALSO
R04404	r_0865	VERDADEIRO
R04404	r_0863	VERDADEIRO
R04404	r_0864	FALSO
R04371	r_0542	FALSO
R04325	r_0499	FALSO
R04231	r_0905	FALSO
R04209	r_0911	FALSO
R04208	r_0855	FALSO
R04173	r_0918	FALSO
R04170	r_0047	FALSO
R04144	r_0914	FALSO
R04037	r_0909	FALSO
R04035	r_0910	FALSO
R04014	r_0415	FALSO
R04001	r_0060	FALSO
R03991	r_0102	FALSO
R03968	r_0023	FALSO
R03940	r_0728	FALSO
R03894	r_0064	FALSO
R03858	r_0105	FALSO
R03815	r_0508	FALSO
R03778	r_0106	FALSO
R03665	r_1089	VERDADEIRO
R03665	r_1090	FALSO
R03664	r_1058	VERDADEIRO
R03664	r_1057	FALSO
R03663	r_1043	VERDADEIRO
R03663	r_1042	FALSO
R03662	r_0995	FALSO
R03661	r_0941	FALSO
R03660	r_0852	VERDADEIRO
R03660	r_0853	FALSO
R03659	r_0730	VERDADEIRO
R03659	r_0729	FALSO
R03658	r_0711	VERDADEIRO
R03658	r_0712	FALSO
R03657	r_0701	VERDADEIRO
R03657	r_0702	FALSO
R03656	r_0666	VERDADEIRO
R03656	r_0665	FALSO
R03655	r_0540	VERDADEIRO
R03655	r_0539	FALSO
R03654	r_0512	FALSO
R03652	r_0478	FALSO
R03650	r_0313	FALSO
R03648	r_0213	VERDADEIRO
R03648	r_0212	FALSO
R03646	r_0209	VERDADEIRO
R03646	r_0210	FALSO
R03530	r_0802	FALSO
R03509	r_0913	FALSO
R03508	r_0566	FALSO
R03504	r_0347	FALSO
R03503	r_0017	FALSO
R03482	r_0518	FALSO
R03471	r_0561	FALSO
R03469	r_0876	FALSO
R03460	r_0065	FALSO
R03457	r_0564	FALSO
R03444	r_0027	FALSO
R03443	r_0759	FALSO
R03433	r_0575	FALSO
R03425	r_0506	FALSO
R03424	r_0901	FALSO
R03364	r_0587	VERDADEIRO
R03364	r_0586	VERDADEIRO
R03364	r_0589	VERDADEIRO
R03364	r_0588	VERDADEIRO
R03364	r_0582	VERDADEIRO
R03364	r_0583	VERDADEIRO
R03364	r_0584	VERDADEIRO
R03364	r_0585	VERDADEIRO
R03364	r_0580	VERDADEIRO
R03364	r_0581	VERDADEIRO
R03364	r_0579	VERDADEIRO
R03364	r_0578	VERDADEIRO
R03364	r_0577	VERDADEIRO
R03364	r_0576	VERDADEIRO
R03364	r_0592	VERDADEIRO
R03364	r_0591	VERDADEIRO
R03364	r_0590	VERDADEIRO
R03364	r_0595	VERDADEIRO
R03364	r_0594	VERDADEIRO
R03364	r_0593	FALSO
R03363	r_0930	VERDADEIRO
R03363	r_0868	VERDADEIRO
R03363	r_0862	VERDADEIRO
R03363	r_0871	FALSO
R03362	r_0923	FALSO
R03361	r_1062	VERDADEIRO
R03361	r_1061	VERDADEIRO
R03361	r_1060	VERDADEIRO
R03361	r_1059	VERDADEIRO
R03361	r_0867	VERDADEIRO
R03361	r_0866	FALSO
R03348	r_0787	VERDADEIRO
R03348	r_0786	FALSO
R03313	r_0473	FALSO
R03293	r_0687	FALSO
R03269	r_0906	FALSO
R03260	r_0815	FALSO
R03245	r_0904	FALSO
R03243	r_0538	FALSO
R03231	r_0146	FALSO
R03223	r_1036	FALSO
R03222	r_0942	FALSO
R03220	r_0304	FALSO
R03217	r_0311	FALSO
R03210	r_0094	FALSO
R03199	r_0698	FALSO
R03197	r_1081	FALSO
R03194	r_1082	FALSO
R03182	r_0335	FALSO
R03165	r_1083	FALSO
R03118	r_0005	FALSO
R03084	r_0039	FALSO
R03083	r_0040	FALSO
R03067	r_0351	FALSO
R03066	r_0350	FALSO
R03057	r_0707	VERDADEIRO
R03057	r_0708	FALSO
R03038	r_0157	FALSO
R03035	r_0841	FALSO
R03018	r_0842	FALSO
R03013	r_0537	FALSO
R03005	r_0785	FALSO
R02978	r_0041	FALSO
R02976	r_1007	FALSO
R02946	r_0003	FALSO
R02918	r_1067	VERDADEIRO
R02918	r_1066	FALSO
R02874	r_1011	FALSO
R02869	r_1002	FALSO
R02864	r_0999	FALSO
R02814	r_0421	FALSO
R02778	r_1051	FALSO
R02750	r_0332	FALSO
R02748	r_0948	FALSO
R02746	r_0895	VERDADEIRO
R02746	r_0894	FALSO
R02715	r_0319	FALSO
R02679	r_0186	VERDADEIRO
R02679	r_0187	FALSO
R02678	r_0176	FALSO
R02668	r_0045	FALSO
R02649	r_0115	FALSO
R02611	r_0169	VERDADEIRO
R02611	r_0170	FALSO
R02568	r_0322	FALSO
R02557	r_0946	FALSO
R02549	r_0201	FALSO
R02536	r_0185	FALSO
R02530	r_0697	FALSO
R02484	r_0333	FALSO
R02473	r_0843	FALSO
R02472	r_0019	FALSO
R02464	r_1003	FALSO
R02424	r_0190	FALSO
R02413	r_0996	FALSO
R02412	r_0997	FALSO
R02404	r_0668	FALSO
R02335	r_0272	FALSO
R02333	r_0271	FALSO
R02331	r_0803	FALSO
R02326	r_0797	FALSO
R02324	r_0983	FALSO
R02315	r_0989	FALSO
R02301	r_0084	FALSO
R02291	r_0219	FALSO
R02283	r_0118	FALSO
R02260	r_0688	FALSO
R02245	r_0735	FALSO
R02244	r_1009	VERDADEIRO
R02244	r_1008	FALSO
R02241	r_0009	VERDADEIRO
R02241	r_0008	FALSO
R02237	r_0346	FALSO
R02199	r_0664	VERDADEIRO
R02199	r_0663	FALSO
R02142	r_1091	FALSO
R02135	r_1033	FALSO
R02101	r_1045	FALSO
R02100	r_0364	FALSO
R02098	r_1080	VERDADEIRO
R02098	r_1079	FALSO
R02094	r_0363	FALSO
R02093	r_0799	FALSO
R02090	r_0330	FALSO
R02082	r_0558	FALSO
R02061	r_0281	VERDADEIRO
R02061	r_0373	FALSO
R02060	r_0890	FALSO
R02058	r_0760	FALSO
R02056	r_0858	VERDADEIRO
R02056	r_0859	FALSO
R02055	r_0877	VERDADEIRO
R02055	r_0879	VERDADEIRO
R02055	r_0878	FALSO
R02038	r_0885	FALSO
R02035	r_0091	FALSO
R02030	r_0251	FALSO
R02024	r_0976	VERDADEIRO
R02024	r_0977	FALSO
R02023	r_0973	FALSO
R02022	r_0971	FALSO
R02020	r_0972	FALSO
R02019	r_0978	VERDADEIRO
R02019	r_0979	FALSO
R02017	r_0975	VERDADEIRO
R02017	r_0974	FALSO
R02016	r_1039	VERDADEIRO
R02016	r_1038	FALSO
R02014	r_0970	FALSO
R02003	r_0462	FALSO
R01993	r_0349	FALSO
R01978	r_0560	VERDADEIRO
R01978	r_0559	FALSO
R01974	r_0567	FALSO
R01969	r_0947	FALSO
R01960	r_0671	FALSO
R01959	r_2112	VERDADEIRO
R01959	r_0762	FALSO
R01954	r_0208	FALSO
R01939	r_0018	FALSO
R01920	r_1001	FALSO
R01900	r_0280	FALSO
R01896	r_1092	FALSO
R01890	r_0274	FALSO
R01870	r_0820	FALSO
R01869	r_2127	FALSO
R01867	r_0453	FALSO
R01857	r_0798	FALSO
R01845	r_2126	FALSO
R01843	r_0887	FALSO
R01829	r_0990	FALSO
R01826	r_0020	VERDADEIRO
R01826	r_0042	FALSO
R01818	r_0902	FALSO
R01802	r_0875	VERDADEIRO
R01802	r_0874	FALSO
R01801	r_0860	FALSO
R01800	r_0881	VERDADEIRO
R01800	r_0880	FALSO
R01799	r_0258	VERDADEIRO
R01799	r_0257	FALSO
R01776	r_0549	FALSO
R01775	r_0547	FALSO
R01771	r_0548	FALSO
R01759	r_0205	FALSO
R01736	r_0554	VERDADEIRO
R01736	r_0553	FALSO
R01730	r_0939	FALSO
R01724	r_0774	VERDADEIRO
R01724	r_0775	FALSO
R01716	r_0066	FALSO
R01715	r_0278	FALSO
R01714	r_0279	FALSO
R01711	r_0956	FALSO
R01706	r_0418	FALSO
R01698	r_0505	FALSO
R01677	r_0515	FALSO
R01662	r_0356	FALSO
R01658	r_0355	FALSO
R01655	r_0724	VERDADEIRO
R01655	r_0725	FALSO
R01652	r_0029	VERDADEIRO
R01652	r_0030	FALSO
R01648	r_0068	FALSO
R01639	r_1094	FALSO
R01626	r_0720	VERDADEIRO
R01626	r_0721	FALSO
R01624	r_0098	VERDADEIRO
R01624	r_0099	FALSO
R01575	r_0321	FALSO
R01574	r_0320	FALSO
R01570	r_1044	FALSO
R01555	r_0198	FALSO
R01529	r_0984	FALSO
R01528	r_0889	FALSO
R01518	r_0893	FALSO
R01513	r_0891	FALSO
R01512	r_0892	FALSO
R01468	r_0368	FALSO
R01466	r_1041	FALSO
R01446	r_0696	FALSO
R01431	r_1093	FALSO
R01402	r_0075	FALSO
R01397	r_0214	FALSO
R01377	r_0854	FALSO
R01373	r_0938	FALSO
R01326	r_0535	FALSO
R01325	r_0302	VERDADEIRO
R01325	r_0303	FALSO
R01320	r_0900	FALSO
R01315	r_0710	FALSO
R01310	r_0899	FALSO
R01309	r_0991	VERDADEIRO
R01309	r_0896	FALSO
R01301	r_0070	FALSO
R01290	r_0309	FALSO
R01287	r_0813	FALSO
R01281	r_0993	FALSO
R01280	r_0401	VERDADEIRO
R01280	r_0402	FALSO
R01274	r_0847	FALSO
R01269	r_0782	FALSO
R01245	r_0141	FALSO
R01234	r_0036	FALSO
