Gene [Systematic Name];Gene [Standard Name];ORF Qualifier;Gene Description;Mutant Type;Phenotypes > Observable;Qualifier;Strain Background;Chemical;Drain Info;Carbon source;Medium;Special Condition (remove_genes);Special Condition (remove_metab);Special Condition (add_metab);Condition;Details;PubMed ID;Culture type
YPL265W;DIP5;Verified;DIcarboxylic amino acid Permease;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YPL268W;PLC1;Verified;PhosphoLipase C;null;Respiratory growth;decreased rate;S288C;ethanol, glycerol;;glycerol, ethanol;YNBD;;riboflavin, ammonium, folic acid, uracil, glucose;adenine, glutamate, alanine, arginine, asparagine, aspartate, cysteine, glutamine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine;;;23021432;
YPL268W;PLC1;Verified;PhosphoLipase C;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266;
YPL271W;ATP15;Verified;ATP synthase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YPL271W;ATP15;Verified;ATP synthase;null;Respiratory growth;decreased rate;S288C;glycerol, ethanol;;glycerol, ethanol;YNBD;;riboflavin, ammonium, folic acid, uracil, glucose;adenine, glutamate, alanine, arginine, asparagine, aspartate, cysteine, glutamine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine;;;23021432;
YPL271W;ATP15;Verified;ATP synthase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YPR021C;AGC1;Verified;Aspartate-Glutamate Carrier;null;Respiratory growth;normal rate;S288C;ethanol (2%);;ethanol;YPD;;glucose;;;;14622413;
YPR036W;VMA13;Verified;Vacuolar Membrane Atpase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YPR036W;VMA13;Verified;Vacuolar Membrane Atpase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518 + 15509654;
YPR047W;MSF1;Verified;Mitochondrial aminoacyl-tRNA Synthetase, Phenylalanine (F);null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YPR047W;MSF1;Verified;Mitochondrial aminoacyl-tRNA Synthetase, Phenylalanine (F);null;Respiratory growth;decreased rate;S288C;glycerol, ethanol;;glycerol, ethanol;YNBD;;riboflavin, ammonium, folic acid, uracil, glucose;adenine, glutamate, alanine, arginine, asparagine, aspartate, cysteine, glutamine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine;;;23021432;
YPR047W;MSF1;Verified;Mitochondrial aminoacyl-tRNA Synthetase, Phenylalanine (F);null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266;
YPR051W;MAK3;Verified;MAintenance of Killer;null;Respiratory growth;decreased rate;S288C (BY4743);ethanol (2%), glycerol (2%);;glycerol, ethanol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;YEP (non-fermentable carbon source);;16738548;
YPR159W;KRE6;Verified;Killer toxin REsistant;null;Respiratory growth;absent;S288C (BY4743);glycerol;;glycerol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;;;15509654;
YPR191W;QCR2;Verified;QH2:cytochrome-C oxidoReductase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YPR191W;QCR2;Verified;QH2:cytochrome-C oxidoReductase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518 + 15509654;
YML081C-A;ATP18;Verified;ATP synthase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YML081C-A;ATP18;Verified;ATP synthase;null;Respiratory growth;decreased rate;S288C (BY4743);glycerol (2%), ethanol (2%);;glycerol, ethanol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;YEP (non-fermentable carbon source);;16738548;
YML081C-A;ATP18;Verified;ATP synthase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266;
