Gene [Systematic Name];Gene [Standard Name];ORF Qualifier;Gene Description;Mutant Type;Phenotypes > Observable;Qualifier;Strain Background;Chemical;Drain Info;Carbon source;Medium;Special Condition (remove_genes);Special Condition (remove_metab);Special Condition (add_metab);Condition;Details;PubMed ID;Culture type
YLR038C;COX12;Verified;Cytochrome c OXidase;null;Respiratory growth;decreased rate;S288C (BY4743);ethanol (2%), glycerol (2%);;glycerol, ethanol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;YEP (non-fermentable carbon source);;16738548;
YLR038C;COX12;Verified;Cytochrome c OXidase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YLR056W;ERG3;Verified;ERGosterol biosynthesis;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YLR056W;ERG3;Verified;ERGosterol biosynthesis;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YLR070C;XYL2;Verified;;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;19751518;
YLR201C;COQ9;Verified;COenzyme Q;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YLR201C;COQ9;Verified;COenzyme Q;null;Respiratory growth;decreased rate;S288C (BY4743);ethanol (2%), glycerol (2%);;glycerol, ethanol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;YEP (non-fermentable carbon source);;16738548;
YLR201C;COQ9;Verified;COenzyme Q;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YLR240W;VPS34;Verified;Vacuolar Protein Sorting;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266;
YLR260W;LCB5;Verified;Long-Chain Base;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YLR260W;LCB5;Verified;Long-Chain Base;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YLR295C;ATP14;Verified;ATP synthase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YLR295C;ATP14;Verified;ATP synthase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YLR304C;ACO1;Verified;ACOnitase;null;Respiratory growth;absent;S288C;acetate (2%), ethanol (2%);;ethanol, acetate;YPD;;glucose;;nonfermentable carbon sources;;18577574;
YLR304C;ACO1;Verified;ACOnitase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YLR304C;ACO1;Verified;ACOnitase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YLR377C;FBP1;Verified;Fructose-1,6-BisPhosphatase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YLR377C;FBP1;Verified;Fructose-1,6-BisPhosphatase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266;
YLR382C;NAM2;Verified;Nuclear Accommodation of Mitochondria;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YLR382C;NAM2;Verified;Nuclear Accommodation of Mitochondria;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YLR395C;COX8;Verified;Cytochrome c OXidase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YLR447C;VMA6;Verified;Vacuolar Membrane Atpase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YLR447C;VMA6;Verified;Vacuolar Membrane Atpase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518 + 15509654;
YML110C;COQ5;Verified;COenzyme Q;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YML110C;COQ5;Verified;COenzyme Q;null;Respiratory growth;decreased rate;S288C (BY4743);ethanol (2%), glycerol (2%);;glycerol, ethanol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;YEP (non-fermentable carbon source);;16738548;
YML110C;COQ5;Verified;COenzyme Q;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;19751518;
YML120C;NDI1;Verified;NADH Dehydrogenase Internal;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YMR015C;ERG5;Verified;ERGosterol biosynthesis;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;19751518;
